Experimental dataset for Wang et al. "Phosphorus limitation enhances diazotroph zinc quotas"																				

Treatment 1	Treatment 2	Day	Fo	Fm	APA(然 P/h)	Counting(filaments/ml) Chla(mg/m3)	DIN(然)	DIP(然)	TON(然)	TOP(然)	DON(然)	DOP(然)	PON(然)	POC(然)	POP(然)	Mn(然)	Fe(然)	Zn(然)	Cu(然)	Ni(然)	Co(然)	Mo(然)
MPA	M3	3	3.943	6.417	0.318	1300	4.57	0.06	0.058	22.072	0.677	22.012	0.619	62.527	376.39	1.555	0.00147	0.01043	0.0046	0.00112	0.00042	0.00006	0.00041
DIP	P1	6	9.753	16.18	0.22	2525	8.82	0.02	0.679	34.956	0.52	34.936	-0.16	60.441	480.21	3.403	0.0036	0.0165	0.00584	0.00225	0.00067	0.00009	0.0012
DIP	P2	6	3.605	5.821	0.217	1735	10.89	0.006	1.007	44.19	0.933	44.184	-0.075	73.448	523.336	2.715	0.00297	0.0201	0.00785	0.00174	0.00084	0.00008	0.00088
DIP	P3	6	5.288	9.111	0.388	2950	13.14	0.101	0.451	45.5	0.282	45.399	-0.17	86.454	566.462	2.919	0.00308	0.0228	0.01183	0.00225	0.00091	0.00011	0.00076
MPA	M1	6	9.42	16.38	0.645	2970	15.06	0.012	0.019	20.467	0.74	20.455	0.721	108.903	652.373	2.489	0.0048	0.05158	0.0112	0.00286	0.00102	0.00014	0.00121
MPA	M2	6	9.096	15.42	0.481	2730	7.66	0.021	0.016	42.524	1.799	42.503	1.783	89.919	539.047	2.43	0.00399	0.02245	0.00753	0.00536	0.00126	0.00011	0.00109
MPA	M3	6	6.127	9.98	0.408	100	9.23	0.017	0.042	13.872	0.624	13.855	0.582	77.467	468.437	2.126	0.00313	0.01994	0.00432	0.00192	0.00085	0.00009	0.00088
DIP	P1	9	7.254	11.83	0.191	1385	13.46	0.077	0.395	45.7	0.359	45.623	-0.037	72.036	478.51	3.754	0.00375	0.02103	0.00499	0.00224	0.00085	0.00009	0.00118
DIP	P2	9	7.019	11.07	0.175	1125	12.34	0.05	0.903	45.06	0.933	45.01	0.03	70.504	428.262	3.454	0.00359	0.05475	0.00817	0.00232	0.00374	0.00015	0.00097
DIP	P3	9	5.689	9.828	0.318	1610	14.84	0.053	0.173	46.189	1.199	46.121	0.734	95.301	541.435	3.624	0.00458	0.05481	0.01149	0.00246	0.00714	0.00022	0.00161
MPA	M1	9	5.891	10.8	1.454	1350	15.85	0.085	0.028	47.317	1.466	47.232	1.438	103.569	612.92	2.468	0.00415	0.02728	0.01229	0.00267	0.00141	0.00015	0.00088
MPA	M2	9	6.077	10.26	1.35	965	12.68	0.118	0.021	49.646	1.549	49.528	1.528	97.881	595.978	2.572	0.00437	0.02457	0.00647	0.00267	0.00103	0.00015	0.00101
MPA	M3	9	6.267	9.603	0.949	730	6.49	0.058	0.022	19.243	0.905	19.185	0.883	86.413	494.532	2.047	0.00329	0.0214	0.00667	0.00222	0.00094	0.00012	0.00079
DIP	P1	12	10.24	16.95	0.189	1925	17.04	0.023	0.2	44.67	0.143	44.647	-0.058	85.521	535.1	3.67	0.0038	0.01855	0.00669	0.00229	0.00079	0.00009	0.00122
DIP	P2	12	10.53	16.58	0.203	1200	17.17	0.022	0.531	43.934	0.394	43.912	-0.138	83.401	500.825	2.587	0.00299	0.01715		0.00234	0.00135	0.00011	0.00067
DIP	P3	12	8.178	14.63	0.293	2725	15.42	0.066	0.032	18.06	0.044	17.994	0.012	100.154	595.848	3.607	0.00417	0.02119	0.00889	0.00253	0.00082	0.00009	0.00145
MPA	M1	12	8.08	15.11	1.583	2635	6.53	0.043	0.039	23.356	1.048	23.215	1.022	112.537	678.953	2.799	0.00463	0.02366	0.01331	0.00299	0.00104	0.00019	0.00091
MPA	M2	12	6.151	10.73	1.202	1690	5.44	0.053	0.031	18.373	0.779	18.32	0.748	95.299	535.27	2.141	0.00369	0.02141	0.00874	0.00232	0.00138	0.00012	0.00078
MPA	M3	12	6.702	11.39	1.127	1555	19.39	0.229	0.022	28.339	1.318	28.11	1.296	75.313	450.595	1.885	0.00278	0.02119	0.00796	0.00196	0.00133	0.00012	0.00065
DIP	P1	15	10.41	16.8	0.208	3480	19.57	0.058	0.022	45.339	0.098	45.281	0.076	109.843	665.883	5.227	0.00527	0.0288	0.00756	0.00326	0.00109	0.00014	0.002
DIP	P2	15	12.39	18.34	0.222	1500	27.5	0.064	0.019	20.812	0.094	20.748	0.075	111.253	652.03	4.797	0.00451	0.0306	0.00446	0.00292	0.00112	0.00014	0.00162
DIP	P3	15	12.31	20.88	0.463	3035	30.46	0.144	1.053	31.739	0.21	31.595	-0.844	84.347	507.625	3.679	0.00532	0.02586	0.00717	0.00323	0.00096	0.00014	0.00186
MPA	M1	15	6.928	12.78	1.428	1685	16.53	0.082	0.039	47.68	1.449	47.598	1.41	92.82	542.993	2.196	0.00338	0.02012	0.0139	0.00219	0.00142	0.00014	0.00068
MPA	M2	15	6.629	10.95	1.432	2180	18.99	0.081	0.025	22.444	0.947	22.363	0.922	90.094	509.157	1.883	0.00281	0.02084	0.01463	0.00184	0.00158	0.00012	0.0006
MPA	M3	15	5.618	9.342	1.163	905	22.4	0.127	0.019	47.266	2.525	47.139	2.506	72.677	420.507	2.059	0.00281	0.0231	0.01109	0.00203	0.0019	0.00013	0.00077
DIP	P1	18	14.35	24.15	0.347	2270	13.4	0.04	0.032	45.24	0.108	45.2	0.076	131.96	765.727	5.877	0.00663	0.03241	0.00535	0.00391	0.00122	0.00018	0.00236
DIP	P2	18	12.45	20.26	0.436	3570	12.17	0.054	0.033	19.255	0.075	19.201	0.042	122.261	698.343	5.5	0.00606	0.03544	0.01095	0.00405	0.00159	0.00023	0.00166
DIP	P3	18	11.06	19.17	0.562	1425	13.62	0.084	0.038	20.277	0.1	20.193	0.062	120.851	712.985	6.633	0.00857	0.03466	0.01411	0.00525	0.00188	0.0003	0.00259
MPA	M1	18	5.876	11.02	1.271	1165	9.91	0.045	0.034	46.752	1.96	46.707	1.926	88.49	511.967	2.352	0.00315	0.02957	0.0179	0.00242	0.002	0.00015	0.00097
MPA	M2	18	6.965	11.95	1.204	340	5.54	0.069	0.027	46.509	2.299	46.44	2.272	77.804	453.133	2.803	0.00352	0.0224	0.02007	0.00253	0.00246	0.00016	0.00104
MPA	M3	18	4.911	8.936	0.899	635	7.56	0.076	0.025	44.477	2.64	44.401	2.615	68.293	386.12	2.086	0.00264	0.02426	0.02107	0.00218	0.00195	0.00012	0.00076
DIP	P1	21	6.805	11.07	0.62	2785	34.91	0.059	0.029	30.52	0.057	30.461	0.028	117.966	682.52		0.00012	0.00358	0.00019	0.00002	0.00073	0.00001	0
DIP	P2	21	9.562	15.18	0.469	3565	28.29	0.071	0.02	47.553	0.111	47.482	0.091	121.947	703.425	4.101	0.00605	0.03623	0.00713	0.00376	0.00115	0.00023	0.00162
DIP	P3	21	10.87	18.51	0.555	1355	24.54	0.195	0.056	46.888	0.154	46.693	0.098	110.796	668.43	5.694	0.0078	0.07476	0.01648	0.00434	0.00098	0.00025	0.00239
MPA	M1	21	3.234	5.827	1.336	790	11.93	0.063	0.032	45.863	2.043	45.8	2.011	67.247	357.903	3.815	0.00653	0.02633	0.0117	0.00411	0.00122	0.00022	0.0006
MPA	M2	21	6.139	11.15	1.101	1075	5.46	0.088	0.032	46.604	2.647	46.516	2.615	65.717	380.125	4.317	0.00567	0.03237	0.0116	0.00385	0.0015	0.00023	0.001
MPA	M3	21	5.232	8.653	1.004	1290	7.51	0.225	0.044	15.698	0.898	15.473	0.854	61.031	340.462	3.844	0.00387	0.02478	0.01124	0.00461	0.00094	0.00016	0.00079
DIP	P1	24	5.205	13.42	0.407	2540	11.18	0.084	0.037	47.073	0.066	46.989	0.029	105.886	648.065	5.402	0.00584	0.02898	0.01059	0.00364	0.0011	0.00023	0.0016
DIP	P2	24	6.501	16.39	0.355	2380	9.18	0.079	0.032	22.398	0.042	22.319	0.01	114.171	718.975	5.691	0.00659	0.03379	0.01294	0.00444	0.00123	0.00024	0.00174
DIP	P3	24	6.53	16.53	0.436	2420	13.06	0.294	0.027	43.851	0.044	43.557	0.017	114.416	716.84	4.084	0.00774	0.05887	0.00806	0.00437	0.00392	0.00026	0.00236
MPA	M1	24	7.243	15.93	0.726	555	20.4	0.069	0.025	24.679	1.455	24.61	1.43	58.097	331.102	1.948	0.0022	0.0226	0.02196	0.00171	0.00125	0.00011	0.00061
MPA	M2	24	4.87	10.66	0.623	1180	7.54	0.202	0.025	28.031	1.733	27.829	1.708	64.146	374.712	1.8	0.00238	0.01881	0.01594	0.00178	0.0012	0.00009	0.0009
MPA	M3	24	2.584	5.91	0.617	595	8.29	0.203	0.036	10.131	0.602	9.928	0.566	52.604	292.952	1.543	0.00171	0.01983	0.01629	0.00144	0.00114	0.0001	0.00052
DIP	P1	27	6.447	15.94	0.331	1975	7.5	0.089	0.048	35.657	0.112	35.568	0.064	100.806	615.86	5.868	0.0129	0.41211	0.02273	0.00665	0.04127	0.00094	
DIP	P2	27	6.85	17.84	0.361	3350	11.81	0.074	0.029	38.961	0.049	38.887	0.02	118.227	703.987	5.555	0.00846	0.09257	0.01221	0.00451	0.00678	0.00031	0.00282
DIP	P3	27	8.28	19.38	0.391	3285	14.33	0.089	0.015	44.227	0.057	44.138	0.042	117.243	710.332	3.563	0.0106	0.13221	0.00423	0.00398	0.0113	0.00038	0.00269
MPA	M1	27	2.354	5.29	0.627	600	6.75	0.055	0.041	43.045	2.682	42.99	2.641	47.004	255.003	1.753	0.0038	0.15572	0.02043	0.00183	0.01479	0.00032	0.00087
MPA	M2	27	1.077	2.792	0.681	405	5.54	0.083	0.024	44.219	2.82	44.136	2.796	49.353	237.888	1.198			0.01502				0.01609
MPA	M3	27	2.361	5.706	0.481	420	3.83	0.069	0.02	13.931	1.005	13.862	0.985	42.716	244.54	1.467	0.00252	0.0699	0.01522	0.00148	0.00596	0.00016	0.00078
DIP	P1	30	4.486	11.66	0.312	3105	12.62	0.073	0.041	41.083	0.045	41.01	0.004	103.816	640.942	4.075	0.00391	0.08175	0.00591	0.00241	0.00667	0.00028	0.0009
DIP	P2	30	5.81	16.42	0.387	3270	21.4	0.104	0.023	14.456	0.091	14.352	0.068	121.764	742.335	4.507	0.00376	0.04361	0.00645	0.00263	0.00211	0.00022	0.00097
DIP	P3	30	7.98	18.92	0.512	2205	17.04	0.096	0.019	12.556	0.059	12.46	0.04	114.09	690.285	5.05	0.00851	0.04384	0.01025	0.00357	0.00191	0.00021	0.00281
MPA	M1	30	2.832	6.298	0.513	470	5.96	0.064	0.011	44.434	2.72	44.37	2.709	41.98	234.37	1.481	0.00221	0.05812	0.01609	0.00121	0.00508	0.00015	0.00062
MPA	M2	30	1.419	3.41	0.534	260	3.68	0.13	0.017	29.252	1.897	29.122	1.88	37.47	191.313	1.427	0.00216	0.06946	0.01512	0.00106	0.00631	0.00017	0.00051
MPA	M3	30	0.763	1.98	0.443	355	4.56	0.264	0.011	18.043	1.055	17.779	1.044	36.243	209.163	1.216	0.00236	0.07274	0.01471	0.00139	0.00672	0.00018	0.00061
